time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-26 00:00:00+00:00,954,11,287,32
2024-09-27 00:00:00+00:00,100,3,169,24
2024-09-28 00:00:00+00:00,3,3,128,28
2024-09-29 00:00:00+00:00,2,2,111,26
2024-09-30 00:00:00+00:00,270,6,397,66
2024-10-01 00:00:00+00:00,135,5,332,63
2024-10-02 00:00:00+00:00,184,5,188,42
2024-10-03 00:00:00+00:00,187,4,105,20
2024-10-04 00:00:00+00:00,65,4,107,21
2024-10-05 00:00:00+00:00,3,3,32,13
2024-10-06 00:00:00+00:00,1,1,45,21
2024-10-07 00:00:00+00:00,270,5,215,31
2024-10-08 00:00:00+00:00,357,10,174,25
2024-10-09 00:00:00+00:00,183,8,254,35
