time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-03 00:00:00+00:00,144,16,346,53
2023-05-04 00:00:00+00:00,211,28,347,39
2023-05-05 00:00:00+00:00,23,5,260,50
2023-05-06 00:00:00+00:00,20,7,327,43
2023-05-07 00:00:00+00:00,33,8,167,29
2023-05-08 00:00:00+00:00,53,17,200,27
2023-05-09 00:00:00+00:00,109,12,299,34
2023-05-10 00:00:00+00:00,91,12,247,34
2023-05-11 00:00:00+00:00,83,15,154,37
2023-05-12 00:00:00+00:00,6,6,363,30
2023-05-13 00:00:00+00:00,29,7,74,16
2023-05-14 00:00:00+00:00,11,8,137,34
2023-05-15 00:00:00+00:00,34,11,260,42
2023-05-16 00:00:00+00:00,48,9,220,46
