time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-09 00:00:00+00:00,145,14,229,38
2023-10-10 00:00:00+00:00,128,4,225,39
2023-10-11 00:00:00+00:00,43,6,204,51
2023-10-12 00:00:00+00:00,34,4,231,29
2023-10-13 00:00:00+00:00,85,5,220,34
2023-10-14 00:00:00+00:00,7,6,57,24
2023-10-15 00:00:00+00:00,4,4,45,24
2023-10-16 00:00:00+00:00,39,8,307,40
2023-10-17 00:00:00+00:00,119,7,184,26
2023-10-18 00:00:00+00:00,9,4,91,27
2023-10-19 00:00:00+00:00,115,12,279,35
2023-10-20 00:00:00+00:00,125,8,460,28
2023-10-21 00:00:00+00:00,36,4,94,14
2023-10-22 00:00:00+00:00,49,6,142,24
